date,ticker,marketcap
2020-02-12,FORM,2048.4
2020-02-11,FORM,2011.3
2020-02-10,FORM,1975.8
2020-02-07,FORM,1928.8
2020-02-06,FORM,1968.2
2020-02-05,FORM,1997.0
2020-02-04,FORM,1997.7
2020-02-03,FORM,1949.7
2020-01-31,FORM,1916.0
2020-01-30,FORM,1978.0
2020-01-29,FORM,1979.6
2020-01-28,FORM,2028.8
2020-01-27,FORM,1969.0
2020-01-24,FORM,2055.3
2020-01-23,FORM,2137.0
2020-01-22,FORM,2059.8
2020-01-21,FORM,2069.3
2020-01-17,FORM,2082.5
2020-01-16,FORM,2048.4
2020-01-15,FORM,2016.6
2020-01-14,FORM,2034.4
2020-01-13,FORM,2015.1
2020-01-10,FORM,1996.2
2020-01-09,FORM,2000.7
2020-01-08,FORM,2003.8
2020-01-07,FORM,1980.3
2020-01-06,FORM,1969.7
2020-01-03,FORM,2009.8
2020-01-02,FORM,2007.6
2019-12-31,FORM,1965.9
2019-12-30,FORM,1983.3
2019-12-27,FORM,1971.2
2019-12-26,FORM,1978.8
2019-12-24,FORM,1972.0
2019-12-23,FORM,1968.2
2019-12-20,FORM,1962.9
2019-12-19,FORM,1972.7
2019-12-18,FORM,1964.0
2019-12-17,FORM,1952.3
2019-12-16,FORM,1910.7
2019-12-13,FORM,1905.4
2019-12-12,FORM,1890.2
2019-12-11,FORM,1797.9
2019-12-10,FORM,1756.2
2019-12-09,FORM,1731.6
2019-12-06,FORM,1758.9
2019-12-05,FORM,1725.2
2019-12-04,FORM,1732.0
2019-12-03,FORM,1703.2
2019-12-02,FORM,1724.4
2019-11-29,FORM,1751.7
2019-11-27,FORM,1770.6
2019-11-26,FORM,1734.3
2019-11-25,FORM,1744.9
2019-11-22,FORM,1704.8
2019-11-21,FORM,1682.1
2019-11-20,FORM,1719.1
2019-11-19,FORM,1745.6
2019-11-18,FORM,1739.6
2019-11-15,FORM,1757.8
2019-11-14,FORM,1719.1
2019-11-13,FORM,1717.3
2019-11-12,FORM,1717.3
2019-11-11,FORM,1709.7
2019-11-08,FORM,1692.7
2019-11-07,FORM,1694.2
2019-11-06,FORM,1689.2
2019-11-05,FORM,1704.0
2019-11-04,FORM,1674.4
2019-11-01,FORM,1690.9
2019-10-31,FORM,1641.3
2019-10-30,FORM,1611.2
2019-10-29,FORM,1624.8
2019-10-28,FORM,1641.3
2019-10-25,FORM,1599.2
2019-10-24,FORM,1590.2
2019-10-23,FORM,1536.0
2019-10-22,FORM,1553.3
2019-10-21,FORM,1563.1
2019-10-18,FORM,1540.9
2019-10-17,FORM,1573.6
2019-10-16,FORM,1528.9
2019-10-15,FORM,1559.3
2019-10-14,FORM,1487.2
2019-10-11,FORM,1507.5
2019-10-10,FORM,1506.7
2019-10-09,FORM,1474.8
2019-10-08,FORM,1457.8
2019-10-07,FORM,1507.5
2019-10-04,FORM,1529.3
2019-10-03,FORM,1458.6
2019-10-02,FORM,1422.5
2019-10-01,FORM,1403.7
2019-09-30,FORM,1401.8
2019-09-27,FORM,1389.4
2019-09-26,FORM,1426.6
2019-09-25,FORM,1451.8
2019-09-24,FORM,1415.7
2019-09-23,FORM,1448.1
2019-09-20,FORM,1454.8
2019-09-19,FORM,1451.8
2019-09-18,FORM,1470.6
2019-09-17,FORM,1448.1
2019-09-16,FORM,1423.3
2019-09-13,FORM,1400.3
2019-09-12,FORM,1387.2
2019-09-11,FORM,1413.5
2019-09-10,FORM,1358.6
2019-09-09,FORM,1371.4
2019-09-06,FORM,1319.5
2019-09-05,FORM,1333.0
2019-09-04,FORM,1308.2
2019-09-03,FORM,1291.7
